languages
language,family,branch,writing,speakers,countries,category,weeks,hours,audio
Albanian,Indo-European,Albanian,Latin alphabet,7.6 million,"Albania, Kosovo, Montenegro, North Macedonian",Category 3,44,1100,albanian.mp3
Arabic,Afro-Asiatic,Semitic,Arabic script,420 million,"Algeria, Bahrain, Chad, Comoros, Djibouti, Egypt, Eritrea, Iraq, Israel, Jordan, Kuwait, Lebanon, Libya, Mali, Mauritania, Morocco, Niger, Oman, Palestine, Qatar, Saudi Arabia, Somalia, Sudan, Syria, Tunisia, United Arab Emirates, Yemen",Category 4,88,2200,arabic.mp3
Armenian,Indo-European,Armenian,Armenian alphabet,5 million,Armenia,Category 3,44,1100,armenian.mp3
Assamese,Indo-European,Indo-Aryan,Assamese alphabet,20 million,India,None,NAN,NAN,assamese.mp3
Azerbaijani,Turkic,Oghuz,Latin alphabet and Cyrillic alphabet,24.2 million,Azerbaijan,Category 3,44,1100,azerbaijani.mp3
Bengali,Indo-European,Indo-Aryan,Brahmi and Bengali script,265 million,"Bangladesh, India, Sierra Leone",Category 3,44,1100,bengali.mp3
Bulgarian,Slavic,South Slavic,Cyrillic alphabet,12 million,Bulgaria,Category 3,44,1100,bulgarian.mp3
Burmese,Sino-Tibetan,Tibeto-Burman,Burmese script,43 million,Myanmar,Category 3,44,1100,burmese.mp3
Cantonese,Sino-Tibetan,Sintic,Chinese script,85 million,"Hong Kong, Macau",Category 4,88,2200,cantonese.mp3
Catalan,Indo-European,Romance,Latin alphabet,9.5 million,"Andorra, Spain",None,NAN,NAN,catalan.mp3
Croatian,Indo-European,Slavic,Latin alphabet,6.7 million,"Croatia, Bosnia and Herzegovina",Category 3,44,1100,croatian.mp3
Czech,Indo-European,Slavic,Latin alphabet,13.3 million,"Czech Republic, Slovakia",Category 3,44,1100,czech.mp3
Danish,Indo-European,Germanic,Latin alphabet,5.6 million,"Denmark, Faroe Islands",Category 3,24,600,danish.mp3
Dari,Indo-European,Indo-Iranian,Perso-Arabic script,12.5 million,Afghanistan,Category 3,44,1100,None
Dutch,Indo-European,Germanic,Latin alphabet,28 million,"Belgium, Netherlands, Suriname",Category 1,24,600,dutch.mp3
English,Indo-European,Germanic,Latin alphabet,1.2 billion,"Antigua and Barbuda, Australia, The Bahamas, Barbados, Belize, Botswana, Cameroon, Canada, Dominica, England, Eritrea, Eswatini, Fiji, The Gambia, Ghana, Grenada, Guyana, Hong Kong, India, Republic of Ireland, Jamaica, Kenya, Kiribati, Lesotho, Liberia, Malawi, Malaysia, Malta, Marshall Islands, Mauritius, Federated States of Micronesia, Namibia, Nauru, New Zealand, Nigeria, Pakistan, Palau, Papua New Guinea, Philippines, Rwanda, Saint Kitts and Nevis, Saint Lucia, Saint Vincent and the Grenadines, Samoa, Seychelles, Sierra Leone, Singapore, Sint Maarten, Solomon Islands, South Africa, South Sudan, Sri Lanka, Sudan, Tanzania, Tonga, Trinidad and Tobago, Tuvalu, Uganda, United Kingdom, United States, Vanuatu, Zambia, Zimbabwe ",None,NAN,NAN,english.mp3
Estonian,Uralic,Finnic,Latin alphabet,1.1 million,Estonia,Category 3,44,1100,estonian.mp3
Faroese ,Indo-European,Germanic,Latin alphabet,"66,000","Faroe Islands, Denmark",None,NAN,NAN,faroese.mp3
Farsi,Indo-European,Indo-Iranian,Persian script,110 million,"Iran, Afghanistan, Tajikistan",Category 3,44,1100,farsi.mp3
Finnish,Uralic,Finnic,Latin alphabet,6.3 million,Finland,Category 3,44,1100,finnish.mp3
French,Indo-European,Romance,Latin alphabet,354 million,"Belgium, Benin, Burkina Faso, Burundi, Cameroon, Canada, Central African Republic, Chad, Comoros, Ivory Coast, Democratic Republic of the Congo, Djibouti, Equatorial Guinea, France, Gabon, Guernsey, Guinea, Haiti, Jersey, Luxembourg, Madagascar, Mali, Mauritius, Monaco, Niger, Rwanda, Senegal, Seychelles, Switzerland, Togo, Vanuatu",Category 1,30,750,french.mp3
Galician,Indo-European,Romance,Latin alphabet,2.4 million,Spain,None,NAN,NAN,galician.mp3
Georgian,Kartvelian,Karto-Zan,Mkhedruli alphabet,3.7 million,Georgia,Category 3,44,1100,None
German,Indo-European,Germanic,Latin alphabet,200 million,"Austria, Belgium, Germany, Liechtenstein, Luxembourg, Namibia, Switzerland",Category 2,36,900,german.mp3
Greek,Indo-European,Hellenic,Greek alphabet,13 million,"Greece, Cyprus",Category 3,44,1100,greek.mp3
Gujarati,Indo-European,Indo-Aryan,Gujarati script,46 million,India,None,NAN,NAN,None
Haitian Creole,Indo-European,Creole,Latin alphabet,8.5 million,Haiti,Category 2,36,900,None
Hebrew,Afro-Asiatic,Semitic,Hebrew script,7.4 million,Israel,Category 3,44,1100,hebrew.mp3
Hindi,Indo-European,Indo-Aryan,Devanagari script script,615 million,"India, Fiji",Category 3,44,1100,hindi.mp3
Hungarian,Indo-European,Uralic,Latin alphabet,13 million,Hungary,Category 3,44,1100,hungarian.mp3
Icelandic,Indo-European,Germanic,Latin alphabet,"350,000",Iceland,Category 3,44,1100,icelandic.mp3
Indonesian,Austronesian,Malayo-Polynesian,Latin alphabet,43 million,Indonesia,Category 2,36,900,indonesian.mp3
Italian,Indo-European,Romance,Latin alphabet,67 million,"Italy, San Marino, Switzerland, Vatican City",Category 1,24,600,italian.mp3
Japanese,Japonic,None,Kanji script,125 million,Japan,Category 4,88,2200,japanese.mp3
Kazakh,Turkic,Kipchak-Nogay,Latin and Cyrillic alphabets,11 million,Kazakhstan,Category 3,44,1100,None
Khmer,Austroasiasic,Mon-Khmer,Khmer script,18.6 million,Cambodia,Category 3,44,1100,None
Korean,Koreanic,None,Hangul alphabet,81.8 million,"North Korea, South Korea",Category 4,88,2200,korean.mp3
Kurdish,Indo-European,Western Iranian,Persian script,30 million,Iraq,Category 3,44,1100,kurdish.mp3
Kyrgyz,Turkic,Kipchak,Cyrillic alphabet,4.5 million,Kyrgyzstan,Category 3,44,1100,kyrgyz.mp3
Lao,Tai-Kadai,Southwestern Tai,Lao script,4.5 million,Laos,Category 3,44,1100,None
Latvian,Indo-European,Slavic,Latin alphabet,2 million,Latvia,Category 3,44,1100,latvian.mp3
Lithuanian,Indo-European,Slavic,Latin alphabet,2.9 million,Lithuania,Category 3,44,1100,lithuanian.mp3
Luxembourgish,Indo-European,Germanic,Latin alphabet,"600,000",Luxembourg,None,NAN,NAN,luxembourgish.mp3
Macedonian,Indo-European,Slavic,Cyrillic alphabet,1.6 million,North Macedonia,Category 3,44,1100,macedonian.mp3
Malay,Austronesian,Malayo-Polynesian,Latin alphabet,18 million,"Malaysia, Brunei, Singapore, Indonesia",Category 2,36,900,malay.mp3
Maltese,Afro-Asiatic,Semitic,Latin alphabet,"420,000",Malta,None,NAN,NAN,maltese.mp3
Mandarin,Sino-Tibetan,Sinitic,Chinese script,1.3 billion,"China, Macau, Hong Kong, Singapore, Taiwan",Category 4,88,2200,None
Marathi,Indo-European,Indo-Aryan,Devanagari script script,95.3 million,India,None,NAN,NAN,marathi.mp3
Mongolian,Indo-European,Indo-Aryan,Cyrillic alphabet,5 million,Mongolia,Category 3,44,1100,mongolian.mp3
Nepali,Indo-European,Indo-Aryan,Devanagari script,25 million,Nepal,None,NAN,NAN,nepali.mp3
Norwegian,Indo-European,Germanic,Latin alphabet,5 million,Norway,Category 3,24,600,norwegian.mp3
Occitan,Indo-European,Romance,Latin alphabet,1.5 million,"France, Spain, Monaco, Italy",None,NAN,NAN,None
Polish,Indo-European,Slavic,Latin alphabet,40 million,Poland,Category 3,44,1100,polish.mp3
Portugese,Indo-European,Romance,Latin alphabet,220 million,"Angola, Brazil, Cape Verde, East Timor, Equatorial Guinea, Guinea-Bissau, Macau, Mozambique, Portugal, São Tomé and Príncipe",Category 1,24,600,portugese.mp3
Punjabi,Indo-European,Indo-Aryan,Gurmukhi and Shahmukhi scripts,130 million,India,None,NAN,NAN,punjabi.mp3
Romanian,Indo-European,Romance,Latin alphabet,26 million,"Romania, Moldova",Category 1,24,600,romanian.mp3
Russian,Indo-European,Slavic,Cyrillic alphabet,260 million,"Russia, Belarus, Kazakhstan, Kyrgyzstan, Tajikistan, ",Category 3,44,1100,russian.mp3
Serbian,Indo-European,Slavic,Latin alphabet,10 million,"Serbia, Bosnia and Herzegovina, Kosovo",None,NAN,NAN,serbian.mp3
Sicilian,Indo-European,Romance,Latin alphabet,5 million,Sicily,None,NAN,NAN,sicilian.mp3
Sindhi,Indo-European,Indo-Aryan,Devanagari script,33 million,"Pakistan, India",None,NAN,NAN,None
Slovak,Indo-European,Slavic,Latin alphabet,5.6 million,"Slovakia, Czech Republic",Category 3,44,1100,slovak.mp3
Slovenian,Indo-European,Slavic,Latin alphabet,2.5 million,Slovenia,Category 3,44,1100,slovenian.mp3
Somali,Afro-Asiatic,East Cushitic,Latin alphabet,15 million,"Djibouti, Somalia",Category 3,44,1100,somali.mp3
Spanish,Indo-European,Romance,Latin alphabet,470 million,"Argentina, Bolivia, Chile, Colombia, Costa Rica, Cuba, Dominican Republic, Ecuador, El Salvador, Equatorial Guinea, Guatemala, Honduras, Mexico, Nicaragua, Panama, Paraguay, Peru, Spain, Puerto Rico, Uruguay, Venezuela",Category 1,24,600,spanish.mp3
Swahili,Niger-Congo,Bantu,Latin alphabet,140 million,"Kenya, Rwanda, Tanzania, Uganda",Category 2,36,900,swahili.mp3
Swedish,Indo-European,Germanic,Latin alphabet,10.2 million,"Sweden, Finland",Category 2,24,600,swedish.mp3
Tagalog,Austronesian,Malayo-Polynesian,Latin alphabet,22.5 million,Philippines,Category 3,44,1100,tagalog.mp3
Telugu,Dravidian,South-Central,Telugu script,95 million,India,Category 3,44,1100,None
Thai,"Kra-Dai,",Southwestern Tai,Thai alphabet,60 million,Thailand,Category 3,44,1100,thai.mp3
Tibetan,Tibetan-Burman,Tibetan,Tibetan script,1.2 million,Tibet Autonomous Region of China,Category 3,44,1100,None
Turkish,Turkic,Oghuz,Latin alphabet,88 million,"Turkish, Cyprus",Category 3,44,1100,turkish.mp3
Ukranian,Indo-European,Slavic,Cyrillic alphabet,45 million,Ukraine,Category 3,44,1100,ukrainian.mp3
Vietnamese,Austroasiasic,Vietic,Latin alphabet,76 million,Vietnam,Category 3,44,1100,vietnamese.mp3
Wu,Sino-Tibetan,Sinitic,Chinese script,90 million,China,None,NAN,NAN,None
Yiddish,Indo-European,Germanic,Latin alphabet,1.5 million,Russia,None,NAN,NAN,yiddish.mp3
